customer_id,age,city,employment_type,salary,expected_salary_day,loan_amount,loan_tenure_months,emi_amount,loan_start_date,initial_balance
1,56,Lake Rachelton,UNEMPLOYED,55801,24,437663,24,19694,2025-05-07,71283
2,59,Meganshire,UNEMPLOYED,26092,28,147772,24,6649,2025-10-05,43432
3,30,New Kathy,GIG_WORKER,47232,21,80698,48,1815,2025-12-09,9285
4,33,Lake Brian,UNEMPLOYED,28675,22,455652,48,10252,2026-01-02,79627
5,21,South Drew,UNEMPLOYED,27313,21,134772,36,4043,2025-08-10,14322
6,38,Paulmouth,UNEMPLOYED,30420,19,95010,24,4275,2025-02-26,54974
7,21,Jamesview,UNEMPLOYED,41676,11,461418,12,41527,2025-04-06,87677
8,46,Harrisview,SELF_EMPLOYED,88431,20,390690,12,35162,2025-07-29,9724
9,37,Rodriguezborough,SALARIED,82817,5,271759,36,8152,2025-12-19,67584
10,44,Beckmouth,SELF_EMPLOYED,34377,13,68674,36,2060,2025-03-16,51908
11,40,Robertsshire,SALARIED,106289,1,389525,36,11685,2026-01-13,50053
12,42,New Adrienneview,UNEMPLOYED,55151,18,302530,36,9075,2025-02-25,70802
13,52,Davisside,GIG_WORKER,29558,19,311876,36,9356,2026-01-14,20858
14,28,South Victoriaview,SELF_EMPLOYED,65962,10,268483,48,6040,2025-12-20,66666
15,56,South Daniel,SALARIED,91875,6,143107,12,12879,2025-11-17,8632
16,41,Jonathonside,UNEMPLOYED,23583,22,201186,12,18106,2025-05-15,76559
17,39,New Tammyport,SALARIED,86111,5,114524,24,5153,2025-03-31,50405
18,42,Hammondview,SALARIED,100170,6,308742,48,6946,2025-04-19,20302
19,25,Carrfurt,SELF_EMPLOYED,61095,12,127391,24,5732,2025-11-02,26100
20,52,Thomasstad,SALARIED,27330,5,485411,36,14562,2025-11-12,36913
21,51,New Coreytown,SELF_EMPLOYED,20655,16,257519,24,11588,2025-12-04,64564
22,41,West Sarahhaven,SALARIED,109642,4,381574,36,11447,2026-01-01,65743
23,44,New Billyburgh,GIG_WORKER,21276,28,416528,48,9371,2025-10-05,10684
24,60,East Christopher,GIG_WORKER,46502,20,395802,48,8905,2025-09-13,41354
25,21,South Jason,SALARIED,35362,1,165653,12,14908,2025-08-23,60048
26,36,Medinachester,SELF_EMPLOYED,83010,15,278277,12,25044,2025-12-07,74101
27,55,New Randy,GIG_WORKER,46543,27,240467,36,7214,2025-12-20,68469
28,30,Waynehaven,GIG_WORKER,19818,24,105276,24,4737,2025-09-20,23827
29,44,Rodgersport,GIG_WORKER,51187,21,329660,24,14834,2025-06-29,11540
30,49,Adambury,UNEMPLOYED,35490,15,382319,36,11469,2025-10-20,43175
31,32,North Justinmouth,UNEMPLOYED,42014,23,423783,36,12713,2025-02-15,55982
32,50,Port Tiffanybury,SALARIED,29626,2,321194,24,14453,2025-11-23,58305
33,31,Orozcomouth,UNEMPLOYED,43838,22,174854,24,7868,2025-06-08,48797
34,41,Jonesland,GIG_WORKER,54570,22,290078,24,13053,2025-09-15,66600
35,52,Scotttown,GIG_WORKER,29739,15,398362,48,8963,2025-04-29,10973
36,55,Shermanmouth,UNEMPLOYED,26354,24,481133,36,14433,2026-01-14,12875
